"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"26",603,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221105_194500.WAV","Big Bog_AM1",2022-11-05,2022-11-05 19:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"27",633,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221106_211500.WAV","Big Bog_AM1",2022-11-06,2022-11-06 21:15:00,0,1.5,-2,"Not a frog",0.991,0,0,0,0,0,0.001,0,"[0.99  0.    0.007 0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"28",667,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221107_234500.WAV","Big Bog_AM1",2022-11-07,2022-11-07 23:45:00,0,1.5,-2,"Not a frog",0.997,0,0,0,0,0,0.002,0,"[0.997 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.002 0.    0.    0.   ]"
"29",690,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221108_233000.WAV","Big Bog_AM1",2022-11-08,2022-11-08 23:30:00,0,1.5,-2,"Not a frog",0.984,0,0,0,0,0,0.014,0,"[0.984 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.014 0.    0.    0.   ]"
"30",703,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221109_204500.WAV","Big Bog_AM1",2022-11-09,2022-11-09 20:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"31",735,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221110_224500.WAV","Big Bog_AM1",2022-11-10,2022-11-10 22:45:00,0,1.5,-2,"Not a frog",0.996,0,0,0,0,0,0.003,0,"[0.996 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.003 0.    0.    0.   ]"
"32",753,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221111_211500.WAV","Big Bog_AM1",2022-11-11,2022-11-11 21:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"33",780,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221112_220000.WAV","Big Bog_AM1",2022-11-12,2022-11-12 22:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"34",794,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221113_193000.WAV","Big Bog_AM1",2022-11-13,2022-11-13 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"35",832,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221114_230000.WAV","Big Bog_AM1",2022-11-14,2022-11-14 23:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"36",846,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221115_203000.WAV","Big Bog_AM1",2022-11-15,2022-11-15 20:30:00,0,1.5,-2,"Not a frog",0.979,0,0,0,0,0,0.019,0,"[0.98  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.019 0.    0.    0.   ]"
"37",868,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221116_200000.WAV","Big Bog_AM1",2022-11-16,2022-11-16 20:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"38",887,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221117_004500.WAV","Big Bog_AM1",2022-11-17,2022-11-17 00:45:00,0,1.5,-2,"Not a frog",0.893,0.001,0,0,0,0.001,0.001,0.001,"[0.893 0.    0.103 0.001 0.001 0.    0.    0.    0.    0.    0.    0.001
 0.    0.001 0.    0.    0.   ]"
"39",913,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221118_191500.WAV","Big Bog_AM1",2022-11-18,2022-11-18 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"40",949,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221119_221500.WAV","Big Bog_AM1",2022-11-19,2022-11-19 22:15:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"41",971,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221120_214500.WAV","Big Bog_AM1",2022-11-20,2022-11-20 21:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"42",1002,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221121_233000.WAV","Big Bog_AM1",2022-11-21,2022-11-21 23:30:00,0,1.5,-2,"Not a frog",0.991,0,0,0,0,0,0.008,0,"[0.99  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.008 0.    0.    0.   ]"
"43",1023,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221122_224500.WAV","Big Bog_AM1",2022-11-22,2022-11-22 22:45:00,0,1.5,-2,"Not a frog",0.963,0.008,0.009,0.004,0,0.006,0.001,0.008,"[0.964 0.    0.    0.008 0.008 0.    0.    0.009 0.004 0.    0.    0.006
 0.001 0.001 0.    0.    0.   ]"
"44",1031,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221123_004500.WAV","Big Bog_AM1",2022-11-23,2022-11-23 00:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"45",1056,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221124_190000.WAV","Big Bog_AM1",2022-11-24,2022-11-24 19:00:00,0,1.5,-2,"Not a frog",0.984,0.001,0.001,0.001,0,0.001,0.002,0.001,"[0.984 0.004 0.003 0.001 0.001 0.    0.001 0.001 0.001 0.    0.001 0.001
 0.    0.002 0.    0.    0.001]"
