"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"49",1158,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221128_203000.WAV","Big Bog_AM1",2022-11-28,2022-11-28 20:30:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"50",1180,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221129_200000.WAV","Big Bog_AM1",2022-11-29,2022-11-29 20:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"51",1203,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221130_194500.WAV","Big Bog_AM1",2022-11-30,2022-11-30 19:45:00,4,5.5,13131,"Eastern Sign-bearing Froglet",0.788,0,0.788,0.001,0,0,0,0.006,"[0.206 0.    0.    0.    0.006 0.    0.    0.788 0.001 0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"52",1225,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221201_191500.WAV","Big Bog_AM1",2022-12-01,2022-12-01 19:15:00,0,1.5,-2,"Not a frog",0.997,0,0,0.001,0,0.001,0,0.001,"[0.997 0.    0.    0.    0.001 0.    0.    0.    0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"53",1257,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221202_211500.WAV","Big Bog_AM1",2022-12-02,2022-12-02 21:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"54",1280,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221203_210000.WAV","Big Bog_AM1",2022-12-03,2022-12-03 21:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"55",1313,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221204_231500.WAV","Big Bog_AM1",2022-12-04,2022-12-04 23:15:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"56",1332,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221205_220000.WAV","Big Bog_AM1",2022-12-05,2022-12-05 22:00:00,0,1.5,-2,"Not a frog",0.994,0.001,0.001,0.001,0,0.001,0,0.001,"[0.994 0.    0.001 0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"57",1353,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221206_211500.WAV","Big Bog_AM1",2022-12-06,2022-12-06 21:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"58",1386,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221207_233000.WAV","Big Bog_AM1",2022-12-07,2022-12-07 23:30:00,0,1.5,-2,"Not a frog",0.986,0.004,0.002,0.001,0.001,0.002,0,0.004,"[0.986 0.    0.    0.004 0.004 0.    0.    0.002 0.001 0.    0.    0.002
 0.    0.    0.    0.001 0.   ]"
"59",1392,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221208_190000.WAV","Big Bog_AM1",2022-12-08,2022-12-08 19:00:00,0,1.5,-2,"Not a frog",0.991,0.001,0.001,0.001,0,0.002,0,0.003,"[0.991 0.    0.    0.001 0.003 0.    0.    0.001 0.001 0.    0.    0.002
 0.    0.    0.    0.    0.   ]"
"60",1435,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221209_234500.WAV","Big Bog_AM1",2022-12-09,2022-12-09 23:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"61",1453,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221210_221500.WAV","Big Bog_AM1",2022-12-10,2022-12-10 22:15:00,0,1.5,-2,"Not a frog",0.926,0,0,0.001,0.062,0,0.003,0.005,"[0.926 0.    0.    0.    0.005 0.    0.    0.    0.001 0.    0.    0.
 0.002 0.003 0.    0.062 0.   ]"
"62",1466,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221211_193000.WAV","Big Bog_AM1",2022-12-11,2022-12-11 19:30:00,52,53.5,13204,"Perons Tree Frog",0.722,0,0.003,0.001,0.009,0.722,0,0.005,"[0.257 0.    0.    0.    0.005 0.    0.    0.003 0.001 0.    0.    0.722
 0.    0.    0.    0.009 0.002]"
"63",1489,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221212_191500.WAV","Big Bog_AM1",2022-12-12,2022-12-12 19:15:00,0,1.5,-2,"Not a frog",0.991,0.001,0.001,0.001,0,0.001,0,0.001,"[0.99  0.    0.005 0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"64",1514,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221213_193000.WAV","Big Bog_AM1",2022-12-13,2022-12-13 19:30:00,34,35.5,13131,"Eastern Sign-bearing Froglet",0.573,0,0.573,0.009,0.001,0,0,0.001,"[0.412 0.    0.    0.    0.001 0.    0.    0.573 0.009 0.    0.    0.
 0.    0.    0.    0.001 0.005]"
"65",1550,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221214_223000.WAV","Big Bog_AM1",2022-12-14,2022-12-14 22:30:00,0,1.5,-2,"Not a frog",0.995,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"[0.995 0.    0.001 0.001 0.001 0.    0.    0.001 0.001 0.    0.    0.001
 0.    0.001 0.    0.001 0.   ]"
"66",1571,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221215_214500.WAV","Big Bog_AM1",2022-12-15,2022-12-15 21:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"67",1589,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221216_201500.WAV","Big Bog_AM1",2022-12-16,2022-12-16 20:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"68",1624,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221217_230000.WAV","Big Bog_AM1",2022-12-17,2022-12-17 23:00:00,0,1.5,-2,"Not a frog",1,0,0,0,0,0,0,0,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
