Site,AM,Site_AM,Year,Barking Marsh Frog,Common Froglet,Common Spadefoot Toad,Eastern Sign-Bearing Froglet,Peron's Tree Frog,Pobblebonk,Spotted Marsh Frog
Towrong Creek,1,Towrong Creek_AM1,2021-22,0,1,0,1,1,0,1
Towrong Creek,2,Towrong Creek_AM2,2021-22,0,0,0,0,0,0,0
Two Mile Bunyip,1,Two Mile Bunyip_AM1,2021-22,0,1,0,1,1,0,1
Two Mile Sandridge,1,Two Mile Sandridge_AM1,2021-22,0,1,1,1,1,0,1
Two Mile Sandridge,2,Two Mile Sandridge_AM2,2021-22,0,0,0,0,0,1,1
Warri Yards,1,Warri Yards_AM1,2021-22,0,1,0,1,1,0,1
Whores Creek,1,Whores Creek_AM1,2021-22,0,1,0,1,1,0,1
Whores Creek,2,Whores Creek_AM2,2021-22,0,0,0,0,1,0,0
Big Bog,1,Big Bog_AM1,2022-23,0,0,0,1,1,0,0
Big Bog,2,Big Bog_AM2,2022-23,0,1,0,1,1,0,1
Black Gate Lagoon,1,Black Gate Lagoon_AM1,2022-23,1,1,0,1,1,1,1
Black Gate Lagoon,2,Black Gate Lagoon_AM2,2022-23,0,1,0,1,0,0,0
Boals Deadwoods,1,Boals Deadwoods_AM1,2022-23,1,1,0,0,1,0,1
Boals Deadwoods,2,Boals Deadwoods_AM2,2022-23,0,1,0,1,1,0,0
Bucks Crossing,1,Bucks Crossing_AM1,2022-23,0,0,0,1,1,0,1
Bucks Crossing,2,Bucks Crossing_AM2,2022-23,0,1,0,1,1,1,1
Bunyip Gully Gowers,1,Bunyip Gully Gowers_AM1,2022-23,0,1,0,1,1,0,1
Bunyip Gully Gowers,2,Bunyip Gully Gowers_AM2,2022-23,0,1,0,1,1,1,1
Bunyip Waterhole,1,Bunyip Waterhole_AM2,2022-23,0,0,0,1,1,1,1
Burial Lagoon,1,Burial Lagoon_AM1,2022-23,1,1,0,1,1,1,1
Burial Lagoon,2,Burial Lagoon_AM2,2022-23,1,1,0,1,1,0,0
Duck Lagoon,1,Duck Lagoon_AM1,2022-23,1,1,0,1,1,1,1
Duck Lagoon,2,Duck Lagoon_AM2,2022-23,1,0,0,1,1,0,1
Gooseneck,1,Gooseneck_AM1,2022-23,0,1,0,1,1,0,1
Horseshoe Lagoon,1,Horseshoe Lagoon_AM1,2022-23,1,1,0,1,1,0,1
Horseshoe Lagoon,2,Horseshoe Lagoon_AM2,2022-23,1,1,0,1,1,0,0
Lowries Pump,1,Lowries Pump_AM1,2022-23,1,1,0,1,1,1,1
Lowries Pump,2,Lowries Pump_AM2,2022-23,1,1,0,1,1,0,1
Mannions,1,Mannions_AM1,2022-23,0,1,0,1,1,0,0
Mannions,2,Mannions_AM2,2022-23,0,1,0,1,1,0,0
Pinchgut Lagoon,1,Pinchgut Lagoon_AM1,2022-23,0,1,0,1,1,0,1
Pinchgut Lagoon,2,Pinchgut Lagoon_AM2,2022-23,0,1,0,1,1,0,1
Quambies,1,Quambies_AM1,2022-23,0,1,0,1,1,0,1
Reed Beds Swamp,1,Reed Beds Swamp_AM1,2022-23,1,0,0,0,1,0,1
Reed Beds Swamp,2,Reed Beds Swamp_AM2,2022-23,1,1,0,0,1,0,1
Rookery,2,Rookery_AM2,2022-23,0,1,0,1,1,0,1
Two Mile Sandridge,1,Two Mile Sandridge_AM1,2022-23,0,1,0,1,1,0,1
Two Mile Sandridge,2,Two Mile Sandridge_AM2,2022-23,0,0,0,0,1,0,1
Warri Yards,1,Warri Yards_AM1,2022-23,0,1,0,1,1,0,1
Warri Yards,2,Warri Yards_AM2,2022-23,0,1,0,1,1,0,1
Whores Creek,1,Whores Creek_AM1,2022-23,0,1,0,1,1,0,1
Whores Creek,2,Whores Creek_AM2,2022-23,0,1,0,1,1,0,1
Barmah Creek BI,1,Barmah Creek BI_AM1,2023-24,0,0,0,0,0,0,0
Big Bog,1,Big Bog_AM1,2023-24,0,0,0,0,0,0,0
Big Bog,2,Big Bog_AM2,2023-24,0,1,0,1,0,0,1
Black Gate Lagoon,1,Black Gate Lagoon_AM1,2023-24,0,1,0,1,1,1,1
Black Gate Lagoon,2,Black Gate Lagoon_AM2,2023-24,0,1,0,0,1,1,1
Boals Deadwoods,1,Boals Deadwoods_AM1,2023-24,1,1,0,0,0,0,0
Boals Deadwoods,2,Boals Deadwoods_AM2,2023-24,1,0,0,0,0,0,0
Bucks Crossing,1,Bucks Crossing_AM1,2023-24,0,0,0,1,0,0,0
Bucks Crossing,2,Bucks Crossing_AM2,2023-24,0,1,0,1,0,0,1
Bunyip Gully Gowers,1,Bunyip Gully Gowers_AM1,2023-24,0,0,0,0,0,0,0
Bunyip Gully Gowers,2,Bunyip Gully Gowers_AM2,2023-24,0,1,0,1,1,1,1
Bunyip Waterhole,1,Bunyip Waterhole_AM1,2023-24,0,0,0,1,1,0,1
Bunyip Waterhole,2,Bunyip Waterhole_AM2,2023-24,0,1,0,1,1,0,1
Burial Lagoon,1,Burial Lagoon_AM1,2023-24,1,1,0,1,1,1,1
Burial Lagoon,2,Burial Lagoon_AM2,2023-24,1,1,0,1,1,1,1
Doctors Point,1,Doctors Point_AM1,2023-24,0,1,0,1,0,0,1
Doctors Point,2,Doctors Point_AM2,2023-24,0,0,0,1,0,0,1
Duck Hole Plain,1,Duck Hole Plain_AM1,2023-24,0,1,0,1,0,0,1
Duck Hole Plain,2,Duck Hole Plain_AM2,2023-24,0,1,0,1,0,0,1
Duck Lagoon,1,Duck Lagoon_AM1,2023-24,0,0,0,0,0,0,0
Duck Lagoon,2,Duck Lagoon_AM2,2023-24,1,1,0,1,1,1,1
Gooseneck,1,Gooseneck_AM1,2023-24,0,0,0,0,0,0,0
Gooseneck,2,Gooseneck_AM2,2023-24,0,0,0,1,1,0,1
Horseshoe Lagoon,1,Horseshoe Lagoon_AM1,2023-24,0,1,0,1,0,0,1
Horseshoe Lagoon,2,Horseshoe Lagoon_AM2,2023-24,0,0,0,0,0,0,0
Hughes Crossing,1,Hughes Crossing_AM1,2023-24,0,1,0,1,1,1,1
Hughes Crossing,2,Hughes Crossing_AM2,2023-24,0,1,0,1,0,0,1
Hut Lake,1,Hut Lake_AM1,2023-24,1,0,0,1,0,1,1
Hut Lake,2,Hut Lake_AM2,2023-24,0,1,0,0,1,0,1
Little Rushy Swamp,1,Little Rushy Swamp_AM1,2023-24,1,1,0,1,1,0,1
Little Rushy Swamp,2,Little Rushy Swamp_AM2,2023-24,1,0,0,0,0,0,0
Lowries Pump,1,Lowries Pump_AM1,2023-24,0,0,0,1,1,0,1
Lowries Pump,2,Lowries Pump_AM2,2023-24,0,0,0,1,0,0,1
Mannions,1,Mannions_AM1,2023-24,0,0,0,0,0,0,0
Mannions,2,Mannions_AM2,2023-24,0,1,0,1,1,1,1
Pinchgut Lagoon,1,Pinchgut Lagoon_AM1,2023-24,0,0,0,0,0,0,0
Pinchgut Lagoon,2,Pinchgut Lagoon_AM2,2023-24,0,1,0,1,0,1,1
Quambies,1,Quambies_AM1,2023-24,0,0,0,0,0,0,0
Quambies,2,Quambies_AM2,2023-24,0,1,0,1,0,0,1
Reed Beds Swamp,1,Reed Beds Swamp_AM1,2023-24,1,1,0,1,1,1,1
Rookery,1,Rookery_AM1,2023-24,0,1,0,1,0,1,1
Rookery,2,Rookery_AM2,2023-24,0,0,0,1,0,1,1
Steamer Plain,1,Steamer Plain_AM1,2023-24,0,1,0,1,1,0,1
Steamer Plain,2,Steamer Plain_AM2,2023-24,0,1,0,1,1,1,1
Toupna Creek,2,Toupna Creek_AM2,2023-24,0,1,0,1,1,0,1
Towrong Creek,1,Towrong Creek_AM1,2023-24,0,1,0,1,0,0,0
Towrong Creek,2,Towrong Creek_AM2,2023-24,0,1,0,1,0,0,1
Two Mile Bunyip,1,Two Mile Bunyip_AM1,2023-24,0,0,0,0,0,0,0
Two Mile Bunyip,2,Two Mile Bunyip_AM2,2023-24,0,1,0,1,0,0,1
Two Mile Sandridge,1,Two Mile Sandridge_AM1,2023-24,0,0,0,0,0,0,0
Two Mile Sandridge,2,Two Mile Sandridge_AM2,2023-24,0,1,0,1,0,0,1
Warri Yards,1,Warri Yards_AM1,2023-24,0,1,0,1,0,0,1
Warri Yards,2,Warri Yards_AM2,2023-24,0,1,0,1,0,0,1
Wathours Lagoon,1,Wathours Lagoon_AM1,2023-24,0,1,0,1,0,0,1
Wathours Lagoon,2,Wathours Lagoon_AM2,2023-24,0,1,0,1,0,1,1
Whores Creek,1,Whores Creek_AM1,2023-24,0,0,0,1,0,1,1
Whores Creek,2,Whores Creek_AM2,2023-24,0,0,0,1,0,1,1
